Model,RMSE,MAE,R2
RandomForest,4.001867424934597,3.190073709618846,0.8181480775056649
LightGBM,3.9371660358663703,3.1365206841108804,0.8239808325702459
XGBoost,3.9282189842761737,3.120272159576416,0.8247799277305603
CatBoost,4.135595247126163,3.285358220931418,0.8057913552837997
Ridge,5.898365565646196,4.713840055929768,0.6049465366680302
StackingEnsemble,3.8858218826324955,3.0988666318637224,0.82854179146158
